from_code,to_code,weight,method
DE917,DE917,1.0,composed
DE918,DE918,1.0,composed
DE91A,DE91A,1.0,composed
DE91B,DE91B,1.0,composed
DE91C,DE91C,1.0,composed
DE922,DE922,1.0,composed
DE923,DE923,1.0,composed
DE925,DE925,1.0,composed
DE926,DE926,1.0,composed
DE927,DE927,1.0,composed
DE928,DE928,1.0,composed
DE929,DE929,1.0,composed
DE931,DE931,1.0,composed
DE932,DE932,1.0,composed
DE933,DE933,1.0,composed
DE934,DE934,1.0,composed
DE935,DE935,1.0,composed
DE936,DE936,1.0,composed
DE937,DE937,1.0,composed
DE938,DE938,1.0,composed
DE939,DE939,1.0,composed
DE93A,DE93A,1.0,composed
DE93B,DE93B,1.0,composed
DE941,DE941,1.0,composed
DE942,DE942,1.0,composed
DE943,DE943,1.0,composed
DE944,DE944,1.0,composed
DE945,DE945,1.0,composed
DE946,DE946,1.0,composed
DE947,DE947,1.0,composed
DE948,DE948,1.0,composed
DE949,DE949,1.0,composed
DE94A,DE94A,1.0,composed
DE94B,DE94B,1.0,composed
DE94C,DE94C,1.0,composed
DE94D,DE94D,1.0,composed
DE94E,DE94E,1.0,composed
DE94F,DE94F,1.0,composed
DE94G,DE94G,1.0,composed
DE94H,DE94H,1.0,composed
DEA11,DEA11,1.0,composed
DEA12,DEA12,1.0,composed
DEA13,DEA13,1.0,composed
DEA14,DEA14,1.0,composed
DEA15,DEA15,1.0,composed
DEA16,DEA16,1.0,composed
DEA17,DEA17,1.0,composed
DEA18,DEA18,1.0,composed
DEA19,DEA19,1.0,composed
DEA1A,DEA1A,1.0,composed
DEA1B,DEA1B,1.0,composed
DEA1C,DEA1C,1.0,composed
DEA1D,DEA1D,1.0,composed
DEA1E,DEA1E,1.0,composed
DEA1F,DEA1F,1.0,composed
DEA22,DEA22,1.0,composed
DEA23,DEA23,1.0,composed
DEA24,DEA24,1.0,composed
DEA26,DEA26,1.0,composed
DEA27,DEA27,1.0,composed
DEA28,DEA28,1.0,composed
DEA29,DEA29,1.0,composed
