country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
SI,VESNA,VESNA - zelena stranka,9130.0,VESNA,VESNA – zelena stranka,Vesna -- the Green Party,16089.0,True
LV,"Politiskā partija ""Republika""","Politiskā partija ""Republika""",9079.0,R,Republika,Republic,16088.0,True
LV,LG,Latgales Gaisma,404.0,LG,Latgales Gaisma,Light of Latgale,15948.0,True
CH,Christlich-soziale Partei (CSP),Christlich-soziale Partei (CSP),1122.0,CsP,Christlich-soziale Partei,Christian Social Party,15912.0,True
IT,POLO PER LE LIBERTA',,8052.0,PL,Polo per le Libertà,Pole for Freedoms,15810.0,True
HR,HNS,,799.0,HNS — LD,Hrvatska narodna stranka — Liberalni Demokrati,Croatian People's Party — Liberal Democrats,15163.0,True
LV,SDS,Socialdemokratiska partija,87.0,SDP,Sociāldemokrātiskā partija,Social Democratic Party,15162.0,True
BG,Ataka,Ataka,1793.0,ATA,Natsionalen Sǎyuz Ataka,National Union Attack,15143.0,True
DE,DKP,DKP,2125.0,DKP,Deutschkonservative Partei,German Conservative Party,14926.6,True
EE,EESTIMAA ÜHENDATUD VASAKPARTEI,EESTIMAA ÜHENDATUD VASAKPARTEI,9124.0,EUV,Eestimaa Ühendatud Vasakpartei,Estonian United Left Party,14605.0,True
RO,ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”,ASOCIAȚIA PARTIDA ROMILOR “PRO-EUROPA”,173.0,PaRo,Partida Romilor,Party of the Roma,14525.0,True
EE,EEKD,Eesti Kristlikud Demokraadid,790.0,EKD,Eesti Kristlikud Demokraadid,Estonian Christian Democrats,14310.0,True
BG,Alternativa za Balgarsko Vazrazhdane,Alternativa za Balgarsko Vazrazhdane,3187.0,ABV,Alternativa za balgarsko vazrazhdane,Alternative for Bulgarian Revival,14218.0,True
EE,Erakond Parempoolsed,Erakond Parempoolsed,83.0,P,Parempoolsed,Right-wingers,14037.0,True
RO,"ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""",173.0,PaRo,Partida Romilor,Party of the Roma,13881.0,True
SI,DD,Dobra Drzava,6133.0,DD,Dobra Drzava,Good Country,13540.0,True
SI,TRS,Stranka za trajnostni razvoj Slovenije,1015.0,TRS,Stranka za trajnostni razvoj Slovenije,Party for Sustainable Development of Slovenia,13477.0,True
LV,PVL,Visu Latvijai!,506.0,VL,Visu Latvijai!,All For Latvia!,13469.0,True
LT,"POLITICAL PARTY ""THE WAY OF COURAGE""",Drasos Kelias,74.0,DK,Drąsos Kelias,The Way of Courage,13337.0,True
LV,SDLP,Socialdemokratiska Labklajibas partija,680.0,SDLP,Sociāldemokrātiskā Labklājības partija,Social Democratic Welfare Party,13234.0,True
NL,Trots op Nederland (TROTS),Trots op Nederland (TROTS),1656.0,TOP,Trots op Nederland,Proud of the Netherlands / List Verdonk,13198.0,True
PL,PC,,1649.0,PC,Porozumienie Centrum,Centre Agreement,12838.0,True
GB,UKUP,,8263.0,UKUP,UK Unionist Party,UK Unionist Party,12817.0,True
SE,Medborgerlig Samling,Medborgerlig Samling,1633.0,MbS,Medborgerlig samling,Citizens Coalition,12751.0,True
FR,Radical de Gauche,Radical de Gauche,1783.0,PRG,Parti radical de gauche,Radical Party of the Left,12434.0,True
LT,LITHUANIAN PEOPLE'S PARTY,,8256.0,LLP,Lietuvos liaudies partija,Lithuanian People's Party,12398.0,True
BG,Attack,Attack,1793.0,ATA,Natsionalen Sǎyuz Ataka,National Union Attack,12266.0,True
FR,La France Insoumise,La France Insoumise,5858.0,FI,La France Insoumise,Unbowed France,12224.0,True
BG,Glas Naroden,Glas Naroden,2024.0,GN,Glas Naroden,People's Voice,12100.0,True
CH,PSA,,31.0,PSA,Partito socialista autonomo,Autonomous Socialist Party,12006.0,True
IE,I4C,,8181.0,I4C,Neamhspleáigh ar son an Athraithe,Independents 4 Change,11892.0,True
BG,ATTACK,ATTACK,1793.0,ATA,Natsionalen Sǎyuz Ataka,National Union Attack,11740.0,True
IT,VALLE D'AOSTA-ULIVO,L'Ulivo,1737.0,Ulivo,L'Ulivo,The Olive Tree,11526.0,True
LV,JD,,1000.0,JD,Jaunie Demokrāti,New Democrats,11505.0,True
BG,People's Voice,People's Voice,2024.0,GN,Glas Naroden,People's Voice,11159.0,True
SK,TIP,,3222.0,TIP,Strana TIP — Tvoríme inú politiku,TIP Party — We create another policy,11112.0,True
RO,PUNR,,1451.0,PUNR,Partidul Unitatii Naţionale a Romanilor,Romanian National Unity Party,11088.0,True
LV,VL,Vienoti Latvijai,3195.0,ViLa,Vienoti Latvijai,United for Latvia,10788.0,True
PT,UDP,,896.0,UDP,União Democrática Popular,Popular Democratic Union,10142.0,True
SK,Komunistická strana Slovenska,Komunistická strana Slovenska,6980.0,KSS,Komunistická strana Slovenska,Communist Party of Slovakia (1939),9867.0,True
ES,GEROA BAI,GEROA BAI,8358.0,GB,Geroa Bai,Yes to the Future,9839.0,True
DK,GREEN,,112.0,Gron,De Gronne,Greens,9775.0,True
SI,GPS,Zeleni Slovenije,1494.0,ZS,Zeleni Slovenije,Greens of Slovenia,9708.0,True
BG,PEOPLE'S PARTY THE TRUTH AND ONLY THE TRUTH,PEOPLE'S PARTY THE TRUTH AND ONLY THE TRUTH,6746.0,NP,Narodna partiya,People's Party,9549.0,True
MT,AD,Alternattiva Demokratika,62.0,AD,Alternattiva Demokratika,Democratic Alternative,9316.0,True
PT,MPT,,3226.0,MPT / PT,Movimento Partido da Terra / Partido da Terra,The Earth Party Movement / Earth Party,9213.0,True
LV,TAUTAS KALPI LATVIJAI,TAUTAS KALPI LATVIJAI,9139.0,TKL,Tautas kalpi Latvijai,People's Servants for Latvia,9176.0,True
RO,USR,,5969.0,USR,Uniunea Salvați România,Save Romania Union,9137.0,True
SE,Piratpartiet,Piratpartiet,1485.0,PP,Piratpartiet,Pirate Party,9123.0,True
NL,Piratenpartij - De Groenen,Piratenpartij - De Groenen,1533.0,Groen,De Groenen,The Greens,9107.0,True
NL,Solidariteit Boerenpartij,Solidariteit Boerenpartij,1110.0,Bp,Boerenpartij,Farmers Party,9096.0,True
GR,CHRYSI AVGI,Laikos Syndesmos / Chrysi Avgi,1660.0,LS/CA,Laïkós Sýndesmos / Chrysí Avgí,People’s Association / Golden Dawn,8858.0,True
IE,UNITED LEFT ALLIANCE,,1978.0,ULA,United Left Alliance,United Left Alliance,8818.0,True
BG,Coalition For Bulgaria,Coalition For Bulgaria,1665.0,KzB — BSP,Koalicija za Balgarija — BSP za Bŭlgariya,Coalition for Bulgaria — BSP for Bulgaria,8561.0,True
BG,"PATRIOTIC FRONT - NFSB, BDS RADICALS AND BNDS ENTIRE BULGARIA","PATRIOTIC FRONT - NFSB, BDS RADICALS AND BNDS ENTIRE BULGARIA",5649.0,PF,Patriotichen front,Patriotic Front,8389.0,True
GR,MARXISTIKO-LENINISTIKO KOMMOUNISTIKO KOMMA ELLADAS,MARXISTIKO-LENINISTIKO KOMMOUNISTIKO KOMMA ELLADAS,48.0,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece,8172.0,True
LV,LA,,3213.0,LAAT,Latvijas attīstībai,Latvian Development,8156.0,True
BG,Republicans for Bulgaria,Republicans for Bulgaria,8995.0,RzB,Republikantsi za Balgariya,Republicans for Bulgaria,8116.0,True
SK,"Modrí, Most - Híd","Modrí, Most - Híd",258.0,MH,MOST-HID,Most-Hid,7935.0,True
SI,DeSUS,DeSUS - DEMOKRATIČNA STRANKA UPOKOJENCEV SLOVENIJE,467.0,DeSUS,Demokratična stranka upokojencev Slovenije,Democratic Party of Retired People of Slovenia,7840.0,True
MT,OTHER,,1849.0,etc,other,other,7666.0,True
HR,SDSS,,2348.0,SDSS,Samostalna demokratska srpska stranka,Independent Democratic Serb Party,7606.0,True
PT,NC,NC,7358.0,NC,"Nós, Cidadãos!","We, the Citizens!",7395.0,True
HR,HGS,,6620.0,HGS,Hrvatska građanska stranka,Croatian Civic Party,7277.0,True
HR,ZIVI ZID-AM,,4867.0,ZiZi,Živi zid,Human Shield,7073.0,True
PT,PRD,,1600.0,PRD,Partido Renovador Democrático,Democratic Renewal Party,7070.0,True
LU,VOLT,VOLT Luxembourg - Lëtzebuerg,7353.0,VL,Volt Luxembourg,Volt Luxembourg,7001.0,True
BG,WILL,WILL,5863.0,Volya,Volya,Will,6910.0,True
PT,MPT,MPT,3226.0,MPT / PT,Movimento Partido da Terra / Partido da Terra,The Earth Party Movement / Earth Party,6900.0,True
HR,ZIVI ZID-PH-SIP-NLSP-AM,,4867.0,ZiZi,Živi zid,Human Shield,6829.0,True
EE,EE,Elurikkuse Erakond,7341.0,ELE,Elurikkuse Erakond,Richness of Life,6752.0,True
FR,Divers extrême droite,Divers extrême droite,452.0,exd,extrême droite,other far-right,6457.0,True
SK,HZD,,2133.0,HZD,Hnutie za demokraciu,Movement for Democracy,6133.0,True
PT,PPM,PPM,1480.0,PPM,Partido Popular Monárquico,Popular Monarchist Party,6007.0,True
FR,EXTREME DROITE,,452.0,exd,extrême droite,other far-right,5979.0,True
LV,KDS,,304.0,KDS,Kristīgi demokrātiskā savienība,Christian Democratic Union,5481.0,True
GR,EN. KENTROON,Enosi Kentroon,2510.0,EK,Enosi Kentroon,Union of Centrists,5375.0,True
CY,KEP,K.E.P,1066.0,KEP,K.E.P,Free Citizens Movement,5157.0,True
CH,POCH,,121.0,POCH,Progressive Organisationen der Schweiz,Progressive Organisations of Switzerland,4552.0,True
BG,Bulgarian National Union - New Democracy,Bulgarian National Union - New Democracy,8260.0,BNU — ND,Balgarski Natsionalen Saiuz — ND,Bulgarian National Union — New Democracy,4476.0,True
RO,PP,,5449.0,PP,Partidul Poporului,People's Party,4225.0,True
HR,HOMELAND,,8981.0,DP,Domovinski pokret,Homeland Movement,4111.0,True
CY,APC,Kinima gia ta zoa tis Kiprou,4884.0,KGTZTK,Kinima gia ta zoa tis Kiprou,Animal Party Cyprus,4088.0,True
ES,PARTIDO ARAGONÉS,PARTIDO ARAGONÉS,946.0,PAR,Partido Aragonés Regionalista,Aragonese Regionalist Party,4088.0,True
LT,LITHUANIAN SOCIAL DEMOCRATIC UNION,,8258.0,LSDS,Lietuvos socialdemokratų sąjunga,Lithuanian Social Democratic Union,4075.0,True
IT,REPUBBLICANI EUROPEI,,1165.0,MRE,Movimento Repubblicani Europei,European Republicans Movement,3957.0,True
IT,RINNOVAMENTO,Rinnovamento Italiano,259.0,RiI,Rinnovamento Italiano,Italian Renewal,3825.0,True
BG,Bulgarian National Union,Bulgarian National Union,8260.0,BNU — ND,Balgarski Natsionalen Saiuz — ND,Bulgarian National Union — New Democracy,3717.0,True
EE,VEE,,1975.0,VEE,Vene Erakond Eestis,Russian Party in Estonia,3579.0,True
SK,"Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana","Maďarské fórum, Občianski demokrati Slovenska, Za regióny, Rómska koalícia, Demokratická strana",983.0,DS,Demokratická strana,Democratic Party,3486.0,True
LT,LITHUANIAN NATIONAL UNION,,377.0,LTS,Lietuvių tautininkų sąjunga,Lithuanian National Union,3472.0,True
LT,PARTY 'YOUNG LITHUANIA',Jaunoji Lietuva,1026.0,JL,Jaunoji Lietuva,Young Lithuania,3416.0,True
BG,National Front for the Salvation of Bulgaria,National Front for the Salvation of Bulgaria,2057.0,NFSB,Natzionalen Front za Spasenie na Bulgaria,National Front for the Salvation of Bulgaria,3400.0,True
FR,Parti Communiste Français,Parti Communiste Français,1251.0,PCF,Parti communiste française,French Communist Party,3125.0,True
FI,SKP,SKP,7030.0,SKP,Suomen Kommunistinen Puolue,Communist Party of Finland,3044.0,True
HR,PAMETNO,,7336.0,P,Pametno,Intelligently,3010.0,True
BG,Green Party,Green Party,659.0,ZP,Zelena Partija,Green Party of Bulgaria,2939.0,True
SE,Feministiskt initiativ,Feministiskt initiativ,1240.0,Fi,Feministiskt initiativ,Feminist Initiative,2938.0,True
LV,PA,,5786.0,PA,Progresīvā apvienība,Progressive Union,2900.0,True
RO,PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE,PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE,5450.0,PNT,Partidul National Tărănesc,National Peasants' Party,2727.0,True
IT,RINNOVAMENTO DEMOCRATICO,Rinnovamento Italiano,259.0,RiI,Rinnovamento Italiano,Italian Renewal,2672.0,True
