country_code,party_abbreviation,party_native,partyfacts_id_matched,pf_name_short,pf_name,pf_name_english,votes,resembles_source
FR,Les Républicains,Les Républicains,8168.0,LR,Les Républicains,The Republicans,4480694.0,True
IE,FF,Fianna Fail,1055.0,FF,Fianna Fáil,Fianna Fail — The Republican Party,4398671.0,True
RO,USL,Uniunea Social Liberala,5941.0,USL,Uniunea Social Liberală,Social Liberal Union,4327602.0,True
BG,KB,Koalicija za Balgarija - Koalicija za Balgarija,1665.0,KzB — BSP,Koalicija za Balgarija — BSP za Bŭlgariya,Coalition for Bulgaria — BSP for Bulgaria,4280901.0,True
IT,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,2046.0,M5S,Movimento 5 Stelle,Five Star Movement,4268749.0,True
LU,LSAP,Letzebuerger Sozialistesch Aarbechterpartei,186.0,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,Luxembourg Socialist Workers' Party,4260496.0,True
NO,DNA,Det norske Arbeiderparti,448.0,DNA,Det norske Arbeiderparti,Norwegian Labour Party,4237223.0,True
CH,SVP,Schweizerische Volkspartei,308.0,SVP,Schweizerische Volkspartei,Swiss People's Party,4214015.0,True
CH,Die Mitte (Centre),Die Mitte (Centre),9024.0,Centre,Die Mitte,The Centre,4074584.0,True
LU,DP,Demokratesch Partei,300.0,DP,Demokratesch Partei,Democratic Party,3973432.0,True
IT,PARTITO POPOLARE ITALIANO,Partito Popolare Italiano,1701.0,PPI,Partito Popolare Italiano,Italian People's Party,3966634.0,True
PT,PCP-PEV,CDU  Coligação Democrática Unitária,284.0,CDU,Coligação Democrática Unitária,Unitary Democratic Coalition,3961502.0,True
IT,IDV,Lista di Pietro -- Italia del Valori,768.0,IdV,Lista di Pietro — Italia del Valori,List Di Pietro — Italy of Values,3957605.0,True
SK,SMER,Smer - socialna demokracia,311.0,Smer — SD,Smer — sociálna demokracia,Direction — Social Democracy,3950076.0,True
NL,SP (Socialistische Partij),SP (Socialistische Partij),1363.0,SP,Socialistiese Partij,Socialist Party,3940763.0,True
TR,OTHER,,2955.0,etc,other,other,3935359.0,True
IT,FEDERAZIONE DEI VERDI,Federazione dei Verdi,851.0,FdV,Federazione dei Verdi,Federation of the Greens,3819002.0,True
NO,FRP,Fremskrittspartiet,101.0,FrP,Fremskrittspartiet,Progress Party,3791866.0,True
AT,GRUNE,Die Grunen - Die grune Alternative,1659.0,GRUENE,Die Grünen — Die grüne Alternative,The Greens — The Green Alternative,3753671.0,True
RO,PARTIDUL SOCIAL DEMOCRAT,PARTIDUL SOCIAL DEMOCRAT,120.0,PSD,Partidul Social Democrat,Social Democratic Party,3735809.0,True
RO,PSD+PUR,Uniunea Nationala PSD+PUR,1347.0,PSD+PUR,Uniunea Naţională PSD+PUR,National Union PSD+PUR,3730352.0,True
IE,FG,Fine Gael,1288.0,FG,Fine Gael,Fine Gael (Familiy of the Irish),3705515.0,True
ES,VOX,Vox,3218.0,Vox,Vox,Voice,3656979.0,True
FR,LR,Union pour un mouvement populaire,8168.0,LR,Les Républicains,The Republicans,3537499.0,True
CH,SP,Sozialdemokratische Partei der Schweiz,29.0,SP,Sozialdemokratische Partei der Schweiz,Social Democratic Party of Switzerland,3521817.0,True
GB,LD,Liberal Democrats,1388.0,LD,Liberal Democrats,Liberal Democrats,3519143.0,True
GR,KKE,Kommounistiko Komma Elladas,48.0,KKE,Kommounistikó Kómma Elládas,Communist Party of Greece,3488631.0,True
CZ,ANO 2011,ANO 2011,2141.0,ANO,Akce nespokojených občanů,Action of Dissatisfied Citizens,3398647.0,True
IT,LEGA LOMBARDA,Liga Lombarda,744.0,LL,Liga Lombarda,Lombard League,3395449.0,True
SE,FP,Folkpartiet liberalerna / Liberalerna,1274.0,Fpl / L,Folkpartiet liberalerna / Liberalerna,Liberal People's Party / The Liberals,3389538.0,True
TR,GENC PARTI,,159.0,GP,Genç Parti,Young Party,3349515.0,True
PT,CDS-PP,Centro Democratico e Social / Partido Popular,1308.0,CDS/PP,Centro Democrático e Social / Partido Popular,Democratic and Social Center / People's Party,3340182.0,True
CZ,KSCM,Komunisticka strana Cech a Moravy,1728.0,KSCM,Komunistická strana Cech a Moravy,Communist Party of Bohemia and Moravia,3291890.0,True
SE,C,Centre Party,7415.0,CP,Centern,Centre Party,3255148.0,True
ES,PODEMOS-IU-EQUO,,3203.0,PODEMOS,Podemos,We Can,3227123.0,True
NL,SP,SP,1363.0,SP,Socialistiese Partij,Socialist Party,3223444.0,True
SE,VP,Vansterpartiet / Sveriges Komunistiska Parti,830.0,V/SKP,Vänsterpartiet / Sveriges Komunistiska Parti,Left Party / Communist Party,3199318.0,True
ES,PODEMOS,Podemos,3203.0,PODEMOS,Podemos,We Can,3198584.0,True
RO,PSD,Partidul Social Democrat,120.0,PSD,Partidul Social Democrat,Social Democratic Party,3194015.0,True
RO,PNL-PD,Alianta Dreptate si Adevar,215.0,ADA,Alianţa Dreptate şi Adevăr,Justice and Truth Alliance,3191546.0,True
HU,SZDSZ,Szabad Demokratak Szovetsege,910.0,SzDSz,Szabad Demokraták Szövetsége,Alliance of Free Democrats,3134570.0,True
SE,KD,Kristdemokraterna,651.0,KD,Kristdemokraterna,Christian Democrats,3113571.0,True
DE,REP,Die Republikaner,720.0,Rep,Die Republikaner,The Republicans,3080064.0,True
DK,DF,Dansk Folkeparti,1022.0,DF,Dansk Folkeparti,Danish Peoples Party,3077880.0,True
HU,FIDESZ+KDNP,FIDESZ+KDNP,6366.0,Fidesz — KDNP,Fidesz — KDNP pártszövetség / Magyar Szolidaritás Szövetsége,Fidesz — KDNP Party Alliance / Alliance of Hungarian Solidarity,3060706.0,True
CH,FDP,FDP.Die Liberalen,1231.0,FDP,FDP.Die Liberalen,FDP.The Liberals,3056170.0,True
ES,VOX,VOX,3218.0,Vox,Vox,Voice,3033744.0,True
TR,DYP,,351.0,DYP,Doğru Yol Partisi,True Path Party,3004949.0,True
HU,JOBBIK,Jobbik Magyarorszagert Mozgalom,42.0,Jobbik,Jobbik Magyarországért Mozgalom,Movement for a Better Hungary,2963737.0,True
PL,SRP,Samoobrona Rzeczypospolitej Polskiej,727.0,SRP,Samoobrona Rzeczypospolitej Polskiej,Self-Defense of the Republic Poland,2922279.0,True
TR,SAADET PARTISI,,572.0,SP,Saadet Partisi,Felicity Party,2903796.0,True
PT,CH,CH,8182.0,CH,Chega,Enough,2840059.0,True
IT,SCELTA CIVICA CON MONTI PER L'ITALIA,Scelta Civica,2281.0,SC,Scelta Civica,Civic Choice,2824064.0,True
FI,LEFT,Vasemmistoliitto,1044.0,VAS,Vasemmistoliitto,Left Alliance,2763142.0,True
GB,GREENS,Green Party of England and Wales,1794.0,GP,Green Party of England and Wales,Green Party of England and Wales,2716749.0,True
FR,OTHER LEFT,divers gauche,126.0,d-g,divers gauche,other left,2712288.0,True
RO,PARTIDUL NAȚIONAL LIBERAL,PARTIDUL NAȚIONAL LIBERAL,481.0,PNL,Partidul Naţional Liberal,National Liberal Party,2706212.0,True
NL,Democraten 66 (D66),Democraten 66 (D66),45.0,D66,Democraten 66,Democrats 66,2698742.0,True
RO,PNL,Partidul National Liberal,481.0,PNL,Partidul Naţional Liberal,National Liberal Party,2658186.0,True
NL,GL,GL,1537.0,GL,GroenLinks,GreenLeft,2546915.0,True
PT,B.E.,Bloco de Esquerda,1310.0,BE,Bloco de Esquerda,Left Bloc,2533495.0,True
CH,CVP,Katholische Konservative / Christlichdemokratische Volkspartei,1808.0,KK/CVP,Katholische Konservative / Christlichdemokratische Volkspartei,Catholic Conservative / Christian Democratic Peoples Party,2508295.0,True
BE,ECOLO,Ecologistes Confederes pour l'organisation de luttes originales,1563.0,Ecolo,Écologistes Confédérés pour l'organisation de luttes originales,Confederated ecologists for the organisation of original struggles,2506786.0,True
BE,GROEN!,Agalev - Groen,528.0,AGL — Gr,Agalev — Groen,Agalev — Green,2489862.0,True
FR,FI,La France Insoumise,5858.0,FI,La France Insoumise,Unbowed France,2477888.0,True
DE,BSW,BSW,9646.0,BSW,Bündnis Sahra Wagenknecht,Sahra Wagenknecht Alliance,2472947.0,True
FI,PS,Perussuomalaiset,1689.0,SP/PS,Suomen Puolue / Perussuomalaiset,Finns Party / True Finns,2434822.0,True
HU,MDF,Magyar Demokrata Forum,1697.0,MDF,Magyar Demokrata Fórum,Hungarian Democratic Forum,2397789.0,True
SE,MP,Miljopartiet de Grona,456.0,MP,Miljöpartiet de gröna,Greens,2390914.0,True
DK,SF,Socialistisk Folkeparti,329.0,SF,Socialistisk Folkeparti,Socialist Peoples Party,2386501.0,True
ES,PODEMOS-IU,,3203.0,PODEMOS,Podemos,We Can,2381960.0,True
NL,GROENLINKS,GROENLINKS,1537.0,GL,GroenLinks,GreenLeft,2345437.0,True
BG,DPS,Dvizhenie za prava i svobodi,982.0,DPS,Dvizhenie za prava i svobodi,Movement for Rights and Freedoms,2281497.0,True
SE,SD,Sverigedemokraterna,409.0,SD,Sverigedemokraterna,Sweden Democrats,2276415.0,True
RO,PSD-PC,Alliance PSD+PC,6153.0,PSD-PC,Alianța PSD+PC,Alliance PSD+PC,2275874.0,True
IT,FORZA ITALIA,FORZA ITALIA,1626.0,FI,Forza Italia,Go Italy,2218117.0,True
RO,PDL,Partidul Democrat-Liberal,660.0,PDL,Partidul Democrat-Liberal,Democratic Liberal Party,2217901.0,True
RO,ALIANȚA PENTRU UNIREA ROMÂNILOR,ALIANȚA PENTRU UNIREA ROMÂNILOR,8983.0,AUR,Alianța pentru Unirea Românilor,Alliance for the Union of Romanians,2200843.0,True
IT,CCD-CDU,Centro Cristiano Democratico  / Cristiani Democratici Uniti (Biancofiore),962.0,CCD/CDU,Centro Cristiano Democratico  / Cristiani Democratici Uniti (Biancofiore),Christian Democratic Center / United Christian Democrats (White Flower),2190058.0,True
PL,LPR,Liga Polskich Rodzin,1768.0,LPR,Liga Polskich Rodzin,League of Polish Families,2175040.0,True
NL,LPF,LPF,1528.0,LPF,Lijst Pim Fortuyn,Fortuyn List,2164776.0,True
FR,OTHER FAR-LEFT,extreme gauche,1594.0,exg,extrême gauche,other far-left,2160402.0,True
LU,GRENG,Dei Greng [Alternativ],1138.0,Greng/GAP,Déi Gréng [Alternativ],The Greens,2140399.0,True
IT,AZIONE - ITALIA VIVA - CALENDA,AZIONE - ITALIA VIVA - CALENDA,8641.0,IV,Italia Viva,Italy Alive,2125230.0,True
PL,LID,Lewica i Demokraci,1588.0,LiD,Lewica i Demokraci,Left and Democrats,2122981.0,True
GR,SYNASPISMOS RIZOSPASTIKIS ARISTERAS-PROODEFTIKI SYMMACHIA,SYNASPISMOS RIZOSPASTIKIS ARISTERAS-PROODEFTIKI SYMMACHIA,301.0,SYRIZA,Synaspismós Rizospastikís Aristerás,Coalition of the Radical Left,2114634.0,True
DE,NPD,Nationaldemokratische Partei Deutschlands,1723.0,NPD,Nationaldemokratische Partei Deutschlands,National Democratic Party,2112763.0,True
IT,MSI-DN,Movimento Sociale Italiano / Movimento sociale italiano-Destra nazionale,1696.0,MSI,Movimento Sociale Italiano / Movimento sociale italiano-Destra nazionale,Italian Social Movement / Italian Social Movement-National Right,2106742.0,True
NL,Christen Democratisch Appèl (CDA),Christen Democratisch Appèl (CDA),1157.0,CDA,Christen Democratisch Appèl,Christian Democratic Appeal,2083078.0,True
IT,FRATELLI D'ITALIA,Fratelli d'Italia,2280.0,FdI,Fratelli d'Italia,Brothers of Italy,2067198.0,True
ES,EAJ_PNV,Partido Nacionalista Vasco - Euzko Alderdi Jeltzalea,1637.0,PNV,Partido Nacionalista Vasco — Euzko Alderdi Jeltzalea,Basque Nationalist Party,2015777.0,True
PL,KORWIN,Koalicja Odnowy Rzeczypospolitej Wolnosc i Nadzieja KORWiN,4629.0,KORWIN,Koalicja Odnowy Rzeczypospolitej Wolność i Nadzieja KORWiN,Coalition for the Renewal of the Republic — Liberty and Hope,1979952.0,True
TR,DP,,899.0,DP,Demokrat Parti,Democratic Party (2007),1975766.0,True
FR,MODEM,Mouvement Democrate,496.0,MoDem,Mouvement démocrate,Democratic Movement,1974157.0,True
FI,GREENS,Vihrea Liitto,479.0,VIHR,Vihreä Liitto,Green League,1954255.0,True
TR,DEHAP,,1355.0,DEHAP,Demokratik Halk Partisi,Democratic People's Party,1933680.0,True
CZ,KDU-CSL,Krestanska a demokraticka unie / Ceskoslovenska strana lidova,676.0,KDU/CSL,Křesťanská a demokratická unie / Československá strana lidová,Christian Democratic Union / People's Party,1927707.0,True
LU,ADR,Alternativ Demokratesch Reformpartei,1114.0,ADR,Alternativ Demokratesch Reformpartei,Alternative Democratic Reform Party,1918904.0,True
BG,Citizens for European Development of Bulgaria-Union of Democratic Forces,Citizens for European Development of Bulgaria-Union of Democratic Forces,760.0,GERB,Grazhdani za evropeysko razvitie na Balgariya,Citizens for European Development of Bulgaria,1901362.0,True
DE,FREIE WÄHLER,FREIE WÄHLER,1090.0,FW,Freie Wähler,Free Voters,1897124.5,True
FR,DIV,other,1898.0,etc,other,other,1879322.0,True
DK,RV,Det Radikale Venstre,1507.0,RV,Det Radikale Venstre,Danish Social-Liberal Party / Radical Liberal Party,1865660.0,True
RO,UDMR,Uniunea Democrata Maghiara din Romania / Romaniai Magyar Demokrata Szovetseg,1105.0,UDMR/RMDS,Uniunea Democrată Maghiară din România / Romániai Magyar Demokrata Szövetség,Democratic Union of Hungarians in Romania / Democratic Alliance of Hungarians in Romania,1865069.0,True
PL,KW NOWA LEWICA,KW NOWA LEWICA,9349.0,NL,Nowa Lewica,New Left,1859018.0,True
FR,PRG,Parti radical de gauche,1783.0,PRG,Parti radical de gauche,Radical Party of the Left,1819430.0,True
DE,PIRATEN,Piratenpartei Deutschland,1287.0,Pirat,Piratenpartei Deutschland,German Pirate Party,1807047.0,True
IT,LISTA PANNELLA,Lista PanneIIa,3742.0,LP,Lista PanneIIa,Pannella List,1801791.0,True
FR,FG,Front de Gauche,4363.0,FDG,Front de Gauche,Left Front,1783285.0,True
ES,ECP,En Comu Podem,8031.0,ECP,En Comú Podem,In Common We Can,1782982.0,True
IT,PATTO SEGNI,Patto Segni,688.0,PS,Patto Segni,Segni Pact,1762981.0,True
ES,ERC,Esquerra Republicana de Catalunya,848.0,ERC,Esquerra Republicana de Catalunya,Republican Left of Catalonia,1734810.0,True
HR,KUKURIKU,Kukuriku koalicija,2522.0,KK,Kukuriku koalicija,Kukuriku Coalition,1734253.0,True
NO,SP,Senterpartiet,1072.0,Sp/Bp,Senterpartiet / Bondepartiet,Centre [Agrarian] Party,1730735.0,True
IT,PRI,Partito Repubblicano Italiano,394.0,PRI,Partito Repubblicano Italiano,Italian Republican Party,1722296.0,True
NL,ChristenUnie,ChristenUnie,1459.0,CU,ChristenUnie,ChristianUnion,1719858.0,True
GR,SYN,Synaspismos tis Aristeras,516.0,SYN,Synaspismós tīs Aristerás,Coalition of the Left,1715909.0,True
RO,PRM,Partidul Romania Mare,1305.0,PRM,Partidul România Mare,Greater Romania Party,1697814.0,True
NO,A,Avholdspartiet,4073.0,A,Avholdspartiet,Teetotaler Party,1675716.0,True
HU,FKGP,Fuggetlen Kisgazdapart,1294.0,FKgP,Független Kisgazdapárt,Independent Smallholders Party (1988),1670327.0,True
ES,CS,Ciudadanos - Partido de la Ciudadania,3217.0,C,Ciudadanos — Partido de la Ciudadanía,Citizens — Party of the Citizenry,1650318.0,True
IT,RINNOVAMENTO IT-DINI,Rinnovamento Italiano,259.0,RiI,Rinnovamento Italiano,Italian Renewal,1627272.0,True
TR,ANAP,,1190.0,ANAP,Anavatan Partisi,Motherland Party,1610207.0,True
SE,OTHER,other,1887.0,etc,other,other,1604222.0,True
NO,KRF,Kristelig Folkeparti,705.0,KrF,Kristelig Folkeparti,Christian Democratic Party,1603941.0,True
IE,LABOUR,Pairti Lucht Oibre,562.0,Lab,Páirti Lucht Oibre,Labour Party,1596633.0,True
BE,OTHER,,1834.0,etc,other,other,1580567.0,True
PL,RP,Ruch Palikota / Twoj Ruch,731.0,RP / TR,Ruch Palikota / Twój Ruch,Palikot's Movement / Your Movement,1563527.0,True
PL,KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,9026.0,Konf,Konfederacja Wolność i Niepodległość,Confederation Freedom and Independence,1547364.0,True
GB,DUP,,335.0,DUP,Democratic Unionist Party,Democratic Unionist Party,1523162.0,True
IT,COMUNISTI ITALIANI,Partito dei Comunisti Italiani,1635.0,PdCI,Partito dei Comunisti Italiani,Party of Italian Communists,1509088.0,True
CZ,ANO,Akce nespokojenych obcanu,2141.0,ANO,Akce nespokojených občanů,Action of Dissatisfied Citizens,1500113.0,True
PT,PPD/PSD,PPD/PSD,1359.0,PPD/PSD,Partido Popular Democrático / Partido Social Democrata,Popular Democratic Party / Social Democratic Party,1498655.0,True
NL,Partij voor de Dieren,Partij voor de Dieren,1467.0,PvdD,Partij voor de Dieren,Party for the Animals,1493794.0,True
NL,Forum voor Democratie,Forum voor Democratie,5855.0,FvD,Forum voor Democratie,Forum for Democracy,1423383.0,True
FR,VEC,Europe Ecologie - Les Verts,5650.0,EELV,Europe Écologie — Les Verts,Europe Ecology — The Greens,1400953.0,True
CH,GPS,Grune Partei,1006.0,Grue,Grüne Partei,Green Party,1400599.0,True
AT,FPÖ,FPÖ,463.0,FPO,Freiheitliche Partei Österreichs,Freedom Party of Austria,1382043.0,True
ES,BNG,Bloque Nacionalista Galego,1011.0,BNG,Bloque Nacionalista Galego,Galician Nationalist Block,1379104.0,True
FI,RKP,Ruotsalainen Kansanpuolue / Svenska Folkepartiet i Finland,1229.0,RKP/SFP,Ruotsalainen Kansanpuolue / Svenska Folkepartiet i Finland,Swedish People's Party of Finland,1379043.0,True
IE,SF,Sinn Fein (Provisional),4.0,SF,Sinn Féin (Provisional),Sinn Fein (Provisional),1361591.0,True
NO,SV,Sosialistisk Venstreparti,719.0,SV,Sosialistisk Venstreparti,Socialist Left Party,1357912.0,True
NL,Nieuw Sociaal Contract,Nieuw Sociaal Contract,9348.0,NSC,Nieuw Sociaal Contract,New Social Contract,1342959.0,True
FR,GE++,Generation ecologie,1273.0,GE,Generation écologie,Ecology Generation,1342929.0,True
PL,KUKIZ'15,Kukiz'15,4631.0,K,Kukiz'15,Kukiz'15,1339094.0,True
SE,Sverigedemokraterna,Sverigedemokraterna,409.0,SD,Sverigedemokraterna,Sweden Democrats,1330325.0,True
GB,SF,,963.0,SF,Sinn Féin,Sinn Fein,1324617.0,True
LT,HOMELAND UNION,Tevynes Sajunga / Tevynes sajunga - Lietuvos krikscionys demokratai,193.0,TS — LKD,Tėvynės sąjunga — Lietuvos krikščionys demokratai,Homeland Union — Lithuanian Christian Democrats,1322063.0,True
IE,INDEPENDENT,,2735.0,indep,independent,independent,1305196.0,True
GR,PASOK-KINIMA ALLAGIS,PASOK-KINIMA ALLAGIS,7909.0,KINAL,Kinima Allagis,Movement for Change,1293652.0,True
HU,UNITY,Osszefogas,8265.0,O,Összefogás,Unity,1289311.0,True
SI,SDS,Slovenska demokratska stranka,472.0,SDS,Slovenska demokratska stranka,Slovenian Democratic Party,1281258.0,True
DK,EL,Enhedslisten / De Rod-Gronne,1527.0,Enh,Enhedslisten / De Rød-Grønne,Red-Green Alliance,1278885.0,True
RO,OTHER,,1854.0,etc,other,other,1277748.0,True
GB,UUP,,1366.0,UUP,Ulster Unionist Party,Ulster Unionist Party,1267050.0,True
AT,ÖVP,ÖVP,1329.0,OVP,Österreichische Volkspartei,Austrian People's Party,1254160.0,True
NL,Staatkundig Gereformeerde Partij (SGP),Staatkundig Gereformeerde Partij (SGP),1178.0,SGP,Staatkundig Gereformeerde Partij,Reformed Political Party,1249885.0,True
HR,HDZ,Hrvatska demokratska zajednica,1431.0,HDZ,Hrvatska demokratska zajednica,Croatian Democratic Union,1233805.0,True
IT,CENTRO CRISTIANO DEMOCRATICO-CENTRO DEMOCRATICO UNITO,Centro Cristiano Democratico  / Cristiani Democratici Uniti (Biancofiore),962.0,CCD/CDU,Centro Cristiano Democratico  / Cristiani Democratici Uniti (Biancofiore),Christian Democratic Center / United Christian Democrats (White Flower),1232926.0,True
ES,CC,Coalicion Canaria,81.0,CC,Coalición Canaria,Canary Coalition,1229487.0,True
SK,OLANO,Obycajni Ludia a Nezavisle Osobnosti,2130.0,OLaNO,Obyčajní Ľudia a Nezávislé Osobnosti,Ordinary People and Independents,1226641.0,True
ES,PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),PARTIT DELS SOCIALISTES DE CATALUNYA (PSC-PSOE),586.0,PSC-PSOE,Partit dels Socialistes de Catalunya,Socialists' Party of Catalonia,1213006.0,True
RO,ARD,Alianta Romania Dreapta,5940.0,ARD,Alianţa România Dreaptă,Right Romania Alliance,1197589.0,True
ES,UPYD,Union Progreso y Democracia,55.0,UPyD,Unión Progreso y Democracia,"Union, Progress and Democracy",1190363.0,True
FR,OTHER,,1898.0,etc,other,other,1174624.0,True
FR,Divers Droite,Divers Droite,1776.0,d-d,divers droite,other right,1169513.0,True
BE,N-VA,N-VA,36.0,N-VA,Nieuw-Vlaamse Alliantie,New Flemish Alliance,1167061.0,True
GR,OTHER,,1842.0,etc,other,other,1161901.0,True
DE,Tierschutzpartei,Tierschutzpartei,749.0,Tier,Tierschutzpartei,Animal Welfare Party,1157684.1,True
PL,NOWOCZESNA,Nowoczesna,4630.0,N,Nowoczesna,Modern,1155370.0,True
PL,ZL,,9091.0,ZL,Zjednoczona Lewica,United Left,1147102.0,True
RO,UNIUNEA SALVAȚI ROMÂNIA,UNIUNEA SALVAȚI ROMÂNIA,5969.0,USR,Uniunea Salvați România,Save Romania Union,1144382.0,True
FR,ECO,Aujour'hui l'Ecologie,5953.0,AE,Aujour'hui l'Ecologie,Ecology Today,1124613.0,True
IT,LA SINISTRA L'ARCOBALENO,Sinistra Italiana,1212.0,SI,Sinistra Italiana,Italian Left,1124418.0,True
IT,PLI,Partito Liberale Italiano,1461.0,PLI,Partito Liberale Italiano,Italian Liberal Party,1121134.0,True
LU,CSV,Chrëschtlech-Sozial Vollekspartei,539.0,CSV,Chrëschtlech Sozial Vollekspartei,Christian Social People's Party,1099427.0,True
BG,ATAKA,Natsionalen Sayuz Ataka,1793.0,ATA,Natsionalen Sǎyuz Ataka,National Union Attack,1099324.0,True
GB,SDLP,,762.0,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party,1095685.0,True
IT,SINISTRA ECOLOGIA LIBERTA',Sinistra Ecologia Liberta,7031.0,SEL,Sinistra Ecologia Libertà,Left Ecology Freedom,1089562.0,True
IT,DEMOCRAZIA EUROPEA,Democrazia Europea,1327.0,DE,Democrazia Europea,European Democracy,1068839.0,True
FI,KD,Kristillisdemokraatit,703.0,KD,Kristillisdemokraatit,Christian Democrats / League,1067991.0,True
IT,PSDI,Partito Socialista Democratico Italiano,1126.0,PSDI,Partito Socialista Democratico Italiano,Italian Democratic Socialist Party,1064456.0,True
HU,LMP,Lehet Mas a Politika,1650.0,LMP—Greens,Lehet Más a Politika — LMP – Magyarország Zöld Pártja,Politics Can Be Different — LMP – Hungary's Green Party,1055063.0,True
GB,PLAID,,1002.0,Plaid,Plaid Cymru,Plaid Cymru — the Party of Wales,1035560.0,True
PT,OTHER,,1853.0,etc,other,other,1034444.0,True
IT,LIBERI E UGUALI,,8246.0,LeU,Liberi e Uguali,Free and Equal,1032713.0,True
RO,PP-DD,Partidul Poporului - Dan Diaconescu,2474.0,PP — DD,Partidul Poporului — Dan Diaconescu,People's Party — Dan Diaconescu,1023239.0,True
LV,SC,Saskanas Centrs,1056.0,SC,Saskaņas Centrs,Harmony Centre,1019221.0,True
AT,SPÖ,SPÖ,1384.0,SPO,Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria,1006035.0,True
CZ,OTHER,,1838.0,etc,other,other,1005531.0,True
CH,Evangelische Volkspartei der Schweiz (EVP),Evangelische Volkspartei der Schweiz (EVP),1123.0,EVP,Evangelische Volkspartei der Schweiz,Protestant Peoples Party,1003264.0,True
IT,LA ROSA NEL PUGNO,Rosa nel Pugno,1711.0,RnP,Rosa nel Pugno,Rose in the Fist,990443.0,True
SK,SDKU/DS,Slovenska demokraticka a krestanska unia - Demokraticka strana,1617.0,SDKU — DS,Slovenská demokratická a kresťanská únia — Demokratická strana,Slovak Democratic and Christian Union — Democratic Party,968601.0,True
ES,EAJ-PNV,,1637.0,PNV,Partido Nacionalista Vasco — Euzko Alderdi Jeltzalea,Basque Nationalist Party,968332.0,True
FR,Reconquête !,Reconquête !,9064.0,R!,Reconquête,Reconquest,964775.0,True
GR,CHRYSI.AYGI,Laikos Syndesmos / Chrysi Avgi,1660.0,LS/CA,Laïkós Sýndesmos / Chrysí Avgí,People’s Association / Golden Dawn,962509.0,True
BE,VLAAMS BELANG,VLAAMS BELANG,1968.0,VB,Vlaams Belang,Flemish Interest,961601.0,True
NO,V,Venstre,1173.0,V,Venstre,Liberal Party of Norway,957931.0,True
HR,KUKURIKU,,2522.0,KK,Kukuriku koalicija,Kukuriku Coalition,952715.0,True
SK,SAS,Sloboda a Solidarita,1386.0,SaS,Sloboda a Solidarita,Freedom and Solidarity,951710.0,True
NL,JA21,JA21,9011.0,JA21,Juiste Antwoord21,Right Answer 2021,946327.0,True
CZ,ANO 2011,Akce nespokojenych obcanu,2141.0,ANO,Akce nespokojených občanů,Action of Dissatisfied Citizens,927240.0,True
NL,DENK,DENK,5856.0,DENK,Beweging DENK,Think,924472.0,True
RO,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA,1105.0,UDMR/RMDS,Uniunea Democrată Maghiară din România / Romániai Magyar Demokrata Szövetség,Democratic Union of Hungarians in Romania / Democratic Alliance of Hungarians in Romania,924358.0,True
GR,LA.O.S,Laikos Orthodoxos Synagermos,965.0,LAOS,Laïkós Orthódoxos Synagermós,Popular Orthodox Rally,917163.0,True
PT,IL,IL,8640.0,IL,Iniciativa Liberal,Liberal Initiative,910627.0,True
SK,KDH,Krestanskodemokraticke hnutie,63.0,KDH,Kresťanskodemokratické hnutie,Christian Democratic Movement,895405.0,True
AT,NEOS,NEOS - Das Neue Osterreich,1970.0,NEOS,NEOS — Das Neue Österreich,NEOS — The New Austria,888588.0,True
AT,BZO,Bundnis Zukunft Osterreich,599.0,BZO,Bündnis Zukunft Österreich,Alliance for the Future of Austria,887355.0,True
IT,LA DESTRA - FIAMMA TRICOLORE,Fiamma Tricolore,1101.0,MSFT,Fiamma Tricolore,Fiamma Tricolore,885229.0,True
CZ,TOP 9,Tradice Odpovednost Prosperita 09,223.0,TOP09,Tradice Odpovědnost Prosperita 09,Tradition Responsibility Prosperity 09,873833.0,True
NL,BBB,BBB,9010.0,BBB,BoerBurgerBeweging,Farmer-Citizen Movement,869542.0,True
CZ,TOP 09,Tradice Odpovednost Prosperita 09,223.0,TOP09,Tradice Odpovědnost Prosperita 09,Tradition Responsibility Prosperity 09,865168.0,True
BG,NDSV,Nacionalno dvizenie (Simeon Vtori) za stabilnost i vazhod,374.0,NDSV,Nacionalno dviženie (Simeon Vtori) za stabilnost i văzhod,National Movement (Simeon II) for Stability and Progress,852784.0,True
NL,CU,CU,1459.0,CU,ChristenUnie,ChristianUnion,836616.0,True
BG,Movement for Rights and Freedoms,Movement for Rights and Freedoms,982.0,DPS,Dvizhenie za prava i svobodi,Movement for Rights and Freedoms,836415.0,True
BE,PAPTB,Partij van de Arbeid van Belgie - Parti du Travail de Belgique,1753.0,PVDA — PTB,Partij van de Arbeid van België — Parti du Travail de Belgique,Workers' Party of Belgium,835897.0,True
